2019-12-21T14:29:02
Collection: /var/www/html/odv_data/Dirty_Dataset/Dirty_Dataset.odv

Cruise Label	Variable Label	Sample Count	Total Sample Count
WOD05_29001076	3: Salinity	16	16
WOD05_31000197	1: Depth	173	173
WOD05_31000197	2: Temperature	169	173
WOD05_31000197	3: Salinity	171	173
WOD05_31000197	4: Oxygen	170	173
WOD05_31000197	5: Phosphate	144	173
WOD05_31000197	7: Nitrate	108	173
WOD05_31000207	1: Depth	255	255
WOD05_31000207	2: Temperature	240	255
WOD05_31000207	3: Salinity	254	255
WOD05_31000207	4: Oxygen	253	255
WOD05_31000207	5: Phosphate	228	255
WOD05_31001355	1: Depth	1165	1165
WOD05_31001355	2: Temperature	1150	1165
WOD05_31001355	3: Salinity	1163	1165
WOD05_31001355	4: Oxygen	969	1165
WOD05_31001868	1: Depth	21	21
WOD05_31001868	2: Temperature	21	21
WOD05_31001868	3: Salinity	21	21
WOD05_31001868	4: Oxygen	21	21
WOD05_31001868	5: Phosphate	21	21
WOD05_31001868	6: Silicate	21	21
WOD05_31001868	7: Nitrate	21	21
WOD05_31001910	1: Depth	21	21
WOD05_31001910	2: Temperature	21	21
WOD05_31001910	3: Salinity	21	21
WOD05_31001910	4: Oxygen	19	21
WOD05_31003222	1: Depth	2021	2021
WOD05_31003222	2: Temperature	2010	2021
WOD05_31003222	3: Salinity	2008	2021
WOD05_31003222	4: Oxygen	2017	2021
WOD05_31012575	1: Depth	367	367
WOD05_31012575	2: Temperature	358	367
WOD05_31012575	3: Salinity	367	367
WOD05_31012575	4: Oxygen	338	367
WOD05_31013675	1: Depth	18	18
WOD05_31013675	2: Temperature	18	18
WOD05_31013675	3: Salinity	18	18
WOD05_31013675	4: Oxygen	18	18
WOD05_31013683	1: Depth	16	16
WOD05_31013683	2: Temperature	16	16
WOD05_31013683	3: Salinity	16	16
WOD05_31013683	4: Oxygen	16	16
WOD05_31013684	1: Depth	34	34
WOD05_31013684	2: Temperature	34	34
WOD05_31013684	3: Salinity	34	34
WOD05_31013684	4: Oxygen	34	34
WOD05_31013695	1: Depth	5	5
WOD05_31013695	2: Temperature	5	5
WOD05_31013695	3: Salinity	5	5
WOD05_31014669	1: Depth	125	125
WOD05_31014669	2: Temperature	125	125
WOD05_31014669	3: Salinity	123	125
WOD05_31014669	4: Oxygen	124	125
WOD05_31014869	1: Depth	27	27
WOD05_31014869	2: Temperature	27	27
WOD05_31014869	3: Salinity	24	27
WOD05_31014877	1: Depth	13	13
WOD05_31014877	2: Temperature	13	13
WOD05_31014877	3: Salinity	13	13
WOD05_31014877	4: Oxygen	13	13
WOD05_31014887	1: Depth	28	28
WOD05_31014887	2: Temperature	28	28
WOD05_31014887	3: Salinity	28	28
WOD05_31014889	1: Depth	1230	1230
WOD05_31014889	2: Temperature	1215	1230
WOD05_31014889	3: Salinity	1201	1230
WOD05_31014889	4: Oxygen	997	1230
WOD05_31015800	1: Depth	16	16
WOD05_31015800	2: Temperature	13	16
WOD05_31015800	3: Salinity	16	16
WOD05_31015800	4: Oxygen	16	16
WOD05_31015800	5: Phosphate	13	16
WOD05_35000004	1: Depth	871	871
WOD05_35000004	2: Temperature	871	871
WOD05_35000004	3: Salinity	867	871
WOD05_35000101	1: Depth	4216	4216
WOD05_35000101	2: Temperature	4108	4216
WOD05_35000101	3: Salinity	4100	4216
WOD05_35000101	4: Oxygen	3995	4216
WOD05_35000101	5: Phosphate	1463	4216
WOD05_35000101	7: Nitrate	1544	4216
WOD05_35000101	9: Chlorophyll	747	4216
WOD05_35000433	1: Depth	113	113
WOD05_35000433	2: Temperature	113	113
WOD05_35000433	3: Salinity	109	113
WOD05_35000706	1: Depth	192	192
WOD05_35000706	2: Temperature	190	192
WOD05_35000706	3: Salinity	188	192
WOD05_35000846	1: Depth	219	219
WOD05_35000846	2: Temperature	218	219
WOD05_35000846	3: Salinity	215	219
WOD05_35001007	1: Depth	212	212
WOD05_35001007	2: Temperature	212	212
WOD05_35001007	3: Salinity	211	212
WOD05_35008296	1: Depth	21	21
WOD05_35008296	2: Temperature	21	21
WOD05_35008296	3: Salinity	20	21
WOD05_35008392	1: Depth	1338	1338
WOD05_35008392	2: Temperature	1338	1338
WOD05_35008392	3: Salinity	1338	1338
WOD05_35008395	1: Depth	3481	3481
WOD05_35008395	2: Temperature	3481	3481
WOD05_35008395	3: Salinity	3481	3481
WOD05_35008411	1: Depth	140	140
WOD05_35008411	2: Temperature	140	140
WOD05_35008411	3: Salinity	140	140
WOD05_35008411	4: Oxygen	139	140
WOD05_35008411	5: Phosphate	134	140
WOD05_35008411	6: Silicate	137	140
WOD05_35008411	7: Nitrate	137	140
WOD05_35008418	1: Depth	16	16
WOD05_35008418	2: Temperature	16	16
WOD05_35008418	3: Salinity	16	16
WOD05_35008434	1: Depth	48	48
WOD05_35008434	2: Temperature	46	48
WOD05_35008434	3: Salinity	48	48
WOD05_35008435	1: Depth	1177	1177
WOD05_35008435	2: Temperature	1151	1177
WOD05_35008435	3: Salinity	1165	1177
WOD05_35008436	1: Depth	626	626
WOD05_35008436	2: Temperature	622	626
WOD05_35008436	3: Salinity	623	626
WOD05_35008486	1: Depth	6	6
WOD05_35008486	2: Temperature	6	6
WOD05_35008486	3: Salinity	6	6
WOD05_35008514	1: Depth	14	14
WOD05_35008514	9: Chlorophyll	14	14
WOD05_35008515	1: Depth	270	270
WOD05_35008515	9: Chlorophyll	270	270
WOD05_35008530	1: Depth	496	496
WOD05_35008530	2: Temperature	440	496
WOD05_35008530	3: Salinity	439	496
WOD05_35008530	4: Oxygen	427	496
WOD05_35008530	5: Phosphate	389	496
WOD05_35008530	6: Silicate	392	496
WOD05_35008530	7: Nitrate	396	496
WOD05_35008530	9: Chlorophyll	192	496
WOD05_35008572	1: Depth	7720	7720
WOD05_35008572	2: Temperature	7717	7720
WOD05_35008572	3: Salinity	7717	7720
WOD05_35008572	5: Phosphate	148	7720
WOD05_35008572	6: Silicate	363	7720
WOD05_35008572	7: Nitrate	434	7720
WOD05_35008661	1: Depth	70	70
WOD05_35008661	2: Temperature	70	70
WOD05_35008661	3: Salinity	66	70
WOD05_35008699	1: Depth	55	55
WOD05_35008699	2: Temperature	55	55
WOD05_35008699	3: Salinity	55	55
WOD05_35008724	1: Depth	67	67
WOD05_35008724	2: Temperature	67	67
WOD05_35008724	3: Salinity	67	67
WOD05_35008877	1: Depth	2	2
WOD05_35008877	2: Temperature	2	2
WOD05_35008877	3: Salinity	2	2
WOD05_35008880	1: Depth	58	58
WOD05_35008880	2: Temperature	58	58
WOD05_35008880	3: Salinity	58	58
WOD05_35008896	1: Depth	1173	1173
WOD05_35008896	2: Temperature	1172	1173
WOD05_35008896	3: Salinity	1155	1173
WOD05_35008930	1: Depth	10	10
WOD05_35008930	2: Temperature	10	10
WOD05_35008930	3: Salinity	10	10
WOD05_35008931	1: Depth	1005	1005
WOD05_35008931	2: Temperature	997	1005
WOD05_35008931	3: Salinity	992	1005
WOD05_35008931	4: Oxygen	809	1005
WOD05_35008934	1: Depth	64	64
WOD05_35008934	2: Temperature	63	64
WOD05_35008934	3: Salinity	63	64
WOD05_35008934	5: Phosphate	40	64
WOD05_35008938	1: Depth	539	539
WOD05_35008938	2: Temperature	539	539
WOD05_35008938	3: Salinity	537	539
WOD05_35008941	1: Depth	572	572
WOD05_35008941	2: Temperature	571	572
WOD05_35008941	3: Salinity	566	572
WOD05_35008958	1: Depth	100	100
WOD05_35008958	2: Temperature	99	100
WOD05_35008958	3: Salinity	100	100
WOD05_35008997	1: Depth	1076	1076
WOD05_35008997	2: Temperature	1058	1076
WOD05_35008997	3: Salinity	1061	1076
WOD05_35009005	1: Depth	8	8
WOD05_35009005	2: Temperature	8	8
WOD05_35009005	3: Salinity	8	8
WOD05_35009005	4: Oxygen	8	8
WOD05_35009018	1: Depth	543	543
WOD05_35009018	2: Temperature	543	543
WOD05_35009018	3: Salinity	543	543
WOD05_35009019	1: Depth	4270	4270
WOD05_35009019	2: Temperature	4270	4270
WOD05_35009019	3: Salinity	4270	4270
WOD05_35009202	1: Depth	70	70
WOD05_35009202	2: Temperature	70	70
WOD05_35009202	3: Salinity	67	70
WOD05_35009208	1: Depth	5	5
WOD05_35009208	2: Temperature	5	5
WOD05_35009208	3: Salinity	3	5
WOD05_35009210	1: Depth	30	30
WOD05_35009210	2: Temperature	30	30
WOD05_35009210	3: Salinity	28	30
WOD05_35009211	1: Depth	32	32
WOD05_35009211	2: Temperature	32	32
WOD05_35009211	3: Salinity	27	32
WOD05_35009214	1: Depth	13	13
WOD05_35009214	2: Temperature	13	13
WOD05_35009214	3: Salinity	13	13
WOD05_35009215	1: Depth	13	13
WOD05_35009215	2: Temperature	13	13
WOD05_35009215	3: Salinity	13	13
WOD05_35009219	1: Depth	13	13
WOD05_35009219	2: Temperature	13	13
WOD05_35009219	3: Salinity	11	13
WOD05_35009221	1: Depth	33	33
WOD05_35009221	2: Temperature	33	33
WOD05_35009221	3: Salinity	33	33
WOD05_35009222	1: Depth	33	33
WOD05_35009222	2: Temperature	32	33
WOD05_35009222	3: Salinity	33	33
WOD05_35009223	1: Depth	97	97
WOD05_35009223	2: Temperature	97	97
WOD05_35009223	3: Salinity	96	97
WOD05_35009225	1: Depth	398	398
WOD05_35009225	2: Temperature	389	398
WOD05_35009225	3: Salinity	390	398
WOD05_35009226	1: Depth	1220	1220
WOD05_35009226	2: Temperature	1209	1220
WOD05_35009226	3: Salinity	1172	1220
WOD05_35009229	1: Depth	610	610
WOD05_35009229	2: Temperature	609	610
WOD05_35009229	3: Salinity	602	610
WOD05_35009233	1: Depth	47	47
WOD05_35009233	2: Temperature	47	47
WOD05_35009233	3: Salinity	46	47
WOD05_35009234	1: Depth	23	23
WOD05_35009234	2: Temperature	23	23
WOD05_35009234	3: Salinity	23	23
WOD05_35009235	1: Depth	224	224
WOD05_35009235	2: Temperature	220	224
WOD05_35009235	3: Salinity	224	224
WOD05_35009237	1: Depth	97	97
WOD05_35009237	2: Temperature	96	97
WOD05_35009237	3: Salinity	95	97
WOD05_35009238	1: Depth	216	216
WOD05_35009238	2: Temperature	216	216
WOD05_35009238	3: Salinity	214	216
WOD05_35009238	4: Oxygen	212	216
WOD05_35009241	1: Depth	48	48
WOD05_35009241	2: Temperature	47	48
WOD05_35009241	3: Salinity	48	48
WOD05_35009242	1: Depth	141	141
WOD05_35009242	2: Temperature	140	141
WOD05_35009242	3: Salinity	140	141
WOD05_35009242	4: Oxygen	55	141
WOD05_35009244	1: Depth	10	10
WOD05_35009244	2: Temperature	10	10
WOD05_35009244	3: Salinity	10	10
WOD05_35009247	1: Depth	70	70
WOD05_35009247	2: Temperature	70	70
WOD05_35009247	3: Salinity	70	70
WOD05_35009256	1: Depth	68	68
WOD05_35009256	2: Temperature	68	68
WOD05_35009256	3: Salinity	68	68
WOD05_35009256	4: Oxygen	68	68
WOD05_35009259	1: Depth	11	11
WOD05_35009259	2: Temperature	11	11
WOD05_35009259	3: Salinity	11	11
WOD05_35009261	1: Depth	259	259
WOD05_35009261	2: Temperature	259	259
WOD05_35009261	3: Salinity	258	259
WOD05_35009261	4: Oxygen	251	259
WOD05_35009262	1: Depth	6	6
WOD05_35009262	2: Temperature	6	6
WOD05_35009262	3: Salinity	6	6
WOD05_35009264	1: Depth	16	16
WOD05_35009264	2: Temperature	16	16
WOD05_35009264	3: Salinity	16	16
WOD05_35009267	1: Depth	82	82
WOD05_35009267	2: Temperature	82	82
WOD05_35009267	3: Salinity	82	82
WOD05_35009268	1: Depth	43	43
WOD05_35009268	2: Temperature	43	43
WOD05_35009268	3: Salinity	39	43
WOD05_35009270	1: Depth	112	112
WOD05_35009270	2: Temperature	112	112
WOD05_35009270	3: Salinity	107	112
WOD05_35009276	1: Depth	137	137
WOD05_35009276	2: Temperature	137	137
WOD05_35009276	3: Salinity	137	137
WOD05_35009277	1: Depth	158	158
WOD05_35009277	2: Temperature	158	158
WOD05_35009277	3: Salinity	157	158
WOD05_35009279	1: Depth	150	150
WOD05_35009279	2: Temperature	149	150
WOD05_35009279	3: Salinity	150	150
WOD05_35009280	1: Depth	176	176
WOD05_35009280	2: Temperature	176	176
WOD05_35009280	3: Salinity	172	176
WOD05_35009283	1: Depth	129	129
WOD05_35009283	2: Temperature	129	129
WOD05_35009283	3: Salinity	129	129
WOD05_35009283	4: Oxygen	75	129
WOD05_35009285	1: Depth	13	13
WOD05_35009285	2: Temperature	13	13
WOD05_35009285	3: Salinity	13	13
WOD05_35009285	4: Oxygen	12	13
WOD05_35009292	1: Depth	10	10
WOD05_35009292	2: Temperature	10	10
WOD05_35009292	3: Salinity	10	10
WOD05_35009294	1: Depth	10	10
WOD05_35009294	2: Temperature	10	10
WOD05_35009294	3: Salinity	10	10
WOD05_35009295	1: Depth	996	996
WOD05_35009295	2: Temperature	968	996
WOD05_35009295	3: Salinity	917	996
WOD05_35009295	4: Oxygen	942	996
WOD05_35009301	1: Depth	20	20
WOD05_35009301	2: Temperature	20	20
WOD05_35009301	3: Salinity	20	20
WOD05_35009303	1: Depth	14	14
WOD05_35009303	2: Temperature	14	14
WOD05_35009303	3: Salinity	14	14
WOD05_35009303	4: Oxygen	14	14
WOD05_35009311	1: Depth	49	49
WOD05_35009311	2: Temperature	46	49
WOD05_35009311	3: Salinity	49	49
WOD05_35009312	1: Depth	7	7
WOD05_35009312	2: Temperature	6	7
WOD05_35009312	3: Salinity	7	7
WOD05_35009312	4: Oxygen	7	7
WOD05_35009314	1: Depth	37	37
WOD05_35009314	2: Temperature	36	37
WOD05_35009314	3: Salinity	35	37
WOD05_35009314	4: Oxygen	35	37
WOD05_35009315	1: Depth	1518	1518
WOD05_35009315	2: Temperature	1518	1518
WOD05_35009315	3: Salinity	1518	1518
WOD05_35009317	1: Depth	3282	3282
WOD05_35009317	2: Temperature	3282	3282
WOD05_35009317	3: Salinity	3282	3282
WOD05_35009319	1: Depth	7	7
WOD05_35009319	2: Temperature	7	7
WOD05_35009319	3: Salinity	7	7
WOD05_35009319	4: Oxygen	7	7
WOD05_35009327	1: Depth	1507	1507
WOD05_35009327	2: Temperature	1507	1507
WOD05_35009327	3: Salinity	1507	1507
WOD05_35009327	4: Oxygen	565	1507
WOD05_35009329	1: Depth	16	16
WOD05_35009329	2: Temperature	15	16
WOD05_35009329	3: Salinity	16	16
WOD05_35009332	1: Depth	1157	1157
WOD05_35009332	2: Temperature	1157	1157
WOD05_35009332	3: Salinity	1157	1157
WOD05_35009333	1: Depth	1835	1835
WOD05_35009333	2: Temperature	1835	1835
WOD05_35009333	3: Salinity	1835	1835
WOD05_35009338	1: Depth	122	122
WOD05_35009338	2: Temperature	120	122
WOD05_35009338	3: Salinity	122	122
WOD05_35009338	4: Oxygen	122	122
WOD05_35009338	5: Phosphate	116	122
WOD05_35009339	1: Depth	52	52
WOD05_35009339	2: Temperature	52	52
WOD05_35009339	3: Salinity	51	52
WOD05_35009339	4: Oxygen	51	52
WOD05_35009339	5: Phosphate	51	52
WOD05_35009340	1: Depth	125	125
WOD05_35009340	2: Temperature	123	125
WOD05_35009340	3: Salinity	124	125
WOD05_35009340	4: Oxygen	120	125
WOD05_35009340	5: Phosphate	123	125
WOD05_35009341	1: Depth	33	33
WOD05_35009341	2: Temperature	33	33
WOD05_35009341	3: Salinity	33	33
WOD05_35009341	4: Oxygen	33	33
WOD05_35009341	5: Phosphate	33	33
WOD05_35009342	1: Depth	107	107
WOD05_35009342	2: Temperature	107	107
WOD05_35009342	3: Salinity	107	107
WOD05_35009342	4: Oxygen	73	107
WOD05_35009342	5: Phosphate	107	107
WOD05_35009343	1: Depth	129	129
WOD05_35009343	2: Temperature	129	129
WOD05_35009343	3: Salinity	89	129
WOD05_35009343	4: Oxygen	81	129
WOD05_35009343	5: Phosphate	126	129
WOD05_35009344	1: Depth	131	131
WOD05_35009344	2: Temperature	130	131
WOD05_35009344	3: Salinity	128	131
WOD05_35009344	4: Oxygen	130	131
WOD05_35009344	5: Phosphate	130	131
WOD05_35009346	1: Depth	129	129
WOD05_35009346	2: Temperature	128	129
WOD05_35009346	3: Salinity	127	129
WOD05_35009346	4: Oxygen	112	129
WOD05_35009346	5: Phosphate	128	129
WOD05_35009347	1: Depth	67	67
WOD05_35009347	2: Temperature	63	67
WOD05_35009347	3: Salinity	66	67
WOD05_35009347	4: Oxygen	67	67
WOD05_35009347	5: Phosphate	62	67
WOD05_35009348	1: Depth	84	84
WOD05_35009348	2: Temperature	80	84
WOD05_35009348	3: Salinity	84	84
WOD05_35009348	4: Oxygen	80	84
WOD05_35009348	5: Phosphate	78	84
WOD05_35009349	1: Depth	109	109
WOD05_35009349	2: Temperature	107	109
WOD05_35009349	3: Salinity	109	109
WOD05_35009349	4: Oxygen	109	109
WOD05_35009349	5: Phosphate	96	109
WOD05_35009350	1: Depth	126	126
WOD05_35009350	2: Temperature	124	126
WOD05_35009350	3: Salinity	125	126
WOD05_35009350	4: Oxygen	125	126
WOD05_35009350	5: Phosphate	122	126
WOD05_35009351	1: Depth	58	58
WOD05_35009351	2: Temperature	58	58
WOD05_35009351	3: Salinity	58	58
WOD05_35009351	4: Oxygen	58	58
WOD05_35009351	5: Phosphate	58	58
WOD05_35009352	1: Depth	127	127
WOD05_35009352	2: Temperature	126	127
WOD05_35009352	3: Salinity	127	127
WOD05_35009352	4: Oxygen	126	127
WOD05_35009352	5: Phosphate	120	127
WOD05_35009353	1: Depth	112	112
WOD05_35009353	2: Temperature	112	112
WOD05_35009353	3: Salinity	112	112
WOD05_35009353	4: Oxygen	112	112
WOD05_35009353	5: Phosphate	111	112
WOD05_35009354	1: Depth	58	58
WOD05_35009354	2: Temperature	57	58
WOD05_35009354	3: Salinity	58	58
WOD05_35009354	4: Oxygen	10	58
WOD05_35009354	5: Phosphate	58	58
WOD05_35009355	1: Depth	95	95
WOD05_35009355	2: Temperature	94	95
WOD05_35009355	3: Salinity	93	95
WOD05_35009355	4: Oxygen	94	95
WOD05_35009355	5: Phosphate	89	95
WOD05_35009356	1: Depth	115	115
WOD05_35009356	2: Temperature	113	115
WOD05_35009356	3: Salinity	115	115
WOD05_35009356	4: Oxygen	115	115
WOD05_35009356	5: Phosphate	54	115
WOD05_35009357	1: Depth	14	14
WOD05_35009357	2: Temperature	14	14
WOD05_35009357	3: Salinity	14	14
WOD05_35009357	4: Oxygen	14	14
WOD05_35009357	5: Phosphate	7	14
WOD05_35009358	1: Depth	34	34
WOD05_35009358	2: Temperature	34	34
WOD05_35009358	3: Salinity	34	34
WOD05_35009358	4: Oxygen	34	34
WOD05_35009358	5: Phosphate	31	34
WOD05_35009365	1: Depth	14	14
WOD05_35009365	2: Temperature	12	14
WOD05_35009365	3: Salinity	14	14
WOD05_35009366	1: Depth	40	40
WOD05_35009366	2: Temperature	37	40
WOD05_35009366	3: Salinity	40	40
WOD05_35009367	1: Depth	40	40
WOD05_35009367	2: Temperature	36	40
WOD05_35009367	3: Salinity	40	40
WOD05_35009383	1: Depth	61	61
WOD05_35009383	2: Temperature	61	61
WOD05_35009383	3: Salinity	61	61
WOD05_35009383	4: Oxygen	42	61
WOD05_35009400	1: Depth	354	354
WOD05_35009400	2: Temperature	354	354
WOD05_35009400	3: Salinity	353	354
WOD05_35009401	1: Depth	110	110
WOD05_35009401	2: Temperature	110	110
WOD05_35009401	3: Salinity	110	110
WOD05_35009402	1: Depth	111	111
WOD05_35009402	2: Temperature	111	111
WOD05_35009402	3: Salinity	111	111
WOD05_35009403	1: Depth	82	82
WOD05_35009403	2: Temperature	82	82
WOD05_35009403	3: Salinity	81	82
WOD05_35009411	1: Depth	499	499
WOD05_35009411	2: Temperature	483	499
WOD05_35009411	3: Salinity	490	499
WOD05_35009413	1: Depth	304	304
WOD05_35009413	2: Temperature	299	304
WOD05_35009413	3: Salinity	298	304
WOD05_35009414	1: Depth	221	221
WOD05_35009414	2: Temperature	215	221
WOD05_35009414	3: Salinity	221	221
WOD05_35009415	1: Depth	591	591
WOD05_35009415	2: Temperature	591	591
WOD05_35009415	3: Salinity	591	591
WOD05_35009417	1: Depth	285	285
WOD05_35009417	9: Chlorophyll	285	285
WOD05_35009562	1: Depth	999	999
WOD05_35009562	2: Temperature	985	999
WOD05_35009562	3: Salinity	996	999
WOD05_35009564	1: Depth	516	516
WOD05_35009564	2: Temperature	502	516
WOD05_35009564	3: Salinity	509	516
WOD05_35009579	1: Depth	61	61
WOD05_35009579	2: Temperature	61	61
WOD05_35009579	3: Salinity	59	61
WOD05_35009579	4: Oxygen	7	61
WOD05_35009580	1: Depth	109	109
WOD05_35009580	2: Temperature	109	109
WOD05_35009580	3: Salinity	94	109
WOD05_35009580	4: Oxygen	100	109
WOD05_35009580	8: pH	36	109
WOD05_35009583	1: Depth	16	16
WOD05_35009583	2: Temperature	16	16
WOD05_35009583	3: Salinity	15	16
WOD05_35009583	4: Oxygen	16	16
WOD05_35009583	8: pH	10	16
WOD05_35009584	1: Depth	122	122
WOD05_35009584	2: Temperature	122	122
WOD05_35009584	3: Salinity	122	122
WOD05_35009586	1: Depth	78	78
WOD05_35009586	2: Temperature	78	78
WOD05_35009586	3: Salinity	78	78
WOD05_35009594	1: Depth	91	91
WOD05_35009594	2: Temperature	90	91
WOD05_35009594	3: Salinity	88	91
WOD05_35009597	1: Depth	101	101
WOD05_35009597	2: Temperature	101	101
WOD05_35009597	3: Salinity	101	101
WOD05_35009601	1: Depth	62	62
WOD05_35009601	2: Temperature	62	62
WOD05_35009601	3: Salinity	62	62
WOD05_35009603	1: Depth	201	201
WOD05_35009603	2: Temperature	201	201
WOD05_35009603	3: Salinity	184	201
WOD05_35009606	1: Depth	37	37
WOD05_35009606	2: Temperature	37	37
WOD05_35009606	3: Salinity	37	37
WOD05_35009608	1: Depth	19	19
WOD05_35009608	2: Temperature	19	19
WOD05_35009608	3: Salinity	16	19
WOD05_35009609	1: Depth	43	43
WOD05_35009609	2: Temperature	43	43
WOD05_35009609	3: Salinity	43	43
WOD05_35009611	1: Depth	43	43
WOD05_35009611	2: Temperature	42	43
WOD05_35009611	3: Salinity	38	43
WOD05_35009612	1: Depth	1201	1201
WOD05_35009612	2: Temperature	1201	1201
WOD05_35009612	3: Salinity	1201	1201
WOD05_35009614	1: Depth	25	25
WOD05_35009614	2: Temperature	25	25
WOD05_35009614	3: Salinity	25	25
WOD05_35009615	1: Depth	25	25
WOD05_35009615	2: Temperature	25	25
WOD05_35009615	3: Salinity	21	25
WOD05_35009616	1: Depth	32	32
WOD05_35009616	2: Temperature	32	32
WOD05_35009616	3: Salinity	27	32
WOD05_35009617	1: Depth	7	7
WOD05_35009617	2: Temperature	7	7
WOD05_35009617	3: Salinity	7	7
WOD05_35009618	1: Depth	46	46
WOD05_35009618	2: Temperature	45	46
WOD05_35009618	3: Salinity	43	46
WOD05_35009619	1: Depth	82	82
WOD05_35009619	2: Temperature	81	82
WOD05_35009619	3: Salinity	82	82
WOD05_35009620	1: Depth	28	28
WOD05_35009620	2: Temperature	27	28
WOD05_35009620	3: Salinity	26	28
WOD05_35009621	1: Depth	30	30
WOD05_35009621	2: Temperature	30	30
WOD05_35009621	3: Salinity	29	30
WOD05_35009622	1: Depth	36	36
WOD05_35009622	2: Temperature	34	36
WOD05_35009622	3: Salinity	36	36
WOD05_35009623	1: Depth	84	84
WOD05_35009623	2: Temperature	82	84
WOD05_35009623	3: Salinity	82	84
WOD05_35009625	1: Depth	18	18
WOD05_35009625	2: Temperature	18	18
WOD05_35009625	3: Salinity	18	18
WOD05_35009626	1: Depth	23	23
WOD05_35009626	2: Temperature	22	23
WOD05_35009626	3: Salinity	23	23
WOD05_35009627	1: Depth	6	6
WOD05_35009627	2: Temperature	6	6
WOD05_35009627	3: Salinity	6	6
WOD05_35009628	1: Depth	84	84
WOD05_35009628	2: Temperature	84	84
WOD05_35009628	3: Salinity	83	84
WOD05_35009629	1: Depth	307	307
WOD05_35009629	2: Temperature	306	307
WOD05_35009629	3: Salinity	306	307
WOD05_35009630	1: Depth	175	175
WOD05_35009630	2: Temperature	173	175
WOD05_35009630	3: Salinity	173	175
WOD05_35009633	1: Depth	545	545
WOD05_35009633	2: Temperature	543	545
WOD05_35009633	3: Salinity	539	545
WOD05_35009634	1: Depth	169	169
WOD05_35009634	2: Temperature	169	169
WOD05_35009634	3: Salinity	169	169
WOD05_35009634	4: Oxygen	89	169
WOD05_35009635	1: Depth	86	86
WOD05_35009635	2: Temperature	84	86
WOD05_35009635	3: Salinity	85	86
WOD05_35009635	4: Oxygen	84	86
WOD05_35009636	1: Depth	574	574
WOD05_35009636	2: Temperature	546	574
WOD05_35009636	3: Salinity	571	574
WOD05_35009642	1: Depth	100	100
WOD05_35009642	2: Temperature	100	100
WOD05_35009642	3: Salinity	98	100
WOD05_35009643	1: Depth	134	134
WOD05_35009643	2: Temperature	134	134
WOD05_35009643	3: Salinity	132	134
WOD05_35009645	1: Depth	136	136
WOD05_35009645	2: Temperature	135	136
WOD05_35009645	3: Salinity	134	136
WOD05_35009690	1: Depth	555	555
WOD05_35009690	2: Temperature	551	555
WOD05_35009690	3: Salinity	555	555
WOD05_35009691	1: Depth	243	243
WOD05_35009691	2: Temperature	218	243
WOD05_35009691	3: Salinity	219	243
WOD05_35009691	9: Chlorophyll	24	243
WOD05_35009692	1: Depth	596	596
WOD05_35009692	2: Temperature	549	596
WOD05_35009692	3: Salinity	596	596
WOD05_35009693	1: Depth	596	596
WOD05_35009693	2: Temperature	596	596
WOD05_35009693	3: Salinity	596	596
WOD05_35009694	1: Depth	623	623
WOD05_35009694	2: Temperature	623	623
WOD05_35009694	3: Salinity	623	623
WOD05_35009695	1: Depth	622	622
WOD05_35009695	2: Temperature	610	622
WOD05_35009695	3: Salinity	622	622
